Geoff Tate & Adrian Vandenberg
Anfrenee
Howdy
Tourneforte
Florida Man
Sound of Cannae
The Afternooners
Big Richard
Soul Mondays Super Jam w/ WHUT & GranDaddi Caddi
Pocket Full of Shells  A Tribute to Rage Against The Machine
The Water Kickers
Quentin Ravenel
Stankface
Kaizër
Benjamin Tod & Lost Dog Street Band
Local Nomad
Collie Buddz
Soul Mondays w/ WHUT
Landon Wordswell
Fo Daniels & Whitehall
Tyrie
The Steel Wheels
The 33's
Smash Into Pieces
The Simplicity
Riders Law Group
The Wormholes
"Love, Leather & Laces"
Wilmot
DJ Moldybrain
Tree Limbs
"Loser Chris, Slim S.O.U.L, Rhodium , Dj Fl!P"
Primitive Warfare
Moontricks
North By North
Hellvis
Frozen
The Thing
Corey Kilgannon
Rome & Duddy Tour 2024
Guavatron
Zack Mexico + 2 Slices
Cool Cool Cool
Diabolic Oath
Dryrot
Parks & Razz
Tastee Tuesdee’s
Boyscott
The Inhibitors
Sean Mills of Machine Funk – A tribute to Widespread Panic
Dance Party
Taylor’s Version
Into the Fog
Natasha
Weird Science  80's cheeze
Moonkat Daddi
Yacht Rock Revue Wednesday
Show Me Mary
Thelma & The Sleaze
Hunter Park
Kyle Tuttle Band
Good Deal
MiKE L!VE
The Innocents
TAYLOR SWIFT NIGHT
www.facebook.com/holycityvintagemarket/
GODS
Kelly
Less Than Jake
Sam Fribush Organ Trio
Tony Jack’s Glow Party
Lilly Winwood
A Bob Marley Birthday Celebration
Baked Shrimp
S’way & the Apostrophe
Tom Mackell
ZUEZEU
MAOLI
CLOSED
J. Chapa
Buried In Terror
Bike Routes
Town Mountain
Nicholas Mallis
Adam Knights Buried Alive (phish tribute)
The Talismen + Matcha
Bearly Dead
Leaf Eater
Bonzii
Same As It Ever Was
Ruin Lust
Big Something
Majic Dust
Lilly Hiatt
Reverend Horton Heat
The Third Floor
All White Ultra Glow Party
Justin Osborne of Susto: 10 year Anniversary
SEQUOYAH PREP SCHOOL
Self Made Monsters
Jack Fortune
NYE with Weird Science
Slow Pulse
Sherwood's Florist
Yog Mez
Versus Me
Rock the 90’s
Cowboy Mouth
Slim S.O.U.L.
LOVESONG  A Tribute to The Cure
Sammy Rae & The Friends
That1Guy
Isabelle's Gift
The Howdies
YEAH! – R&B & Hip Hop Jams
Billy Pilgrim
SKIP'LO
SkinYouAlive
$25 Gift Certificate
FatRat Da Czar
The Runout
My Emo Valentine Show
Hotel Hugo
Runaway Gin
What’s Up Chuck
Stop Light Observations
Sun Child
Hollifield
Jeff Caldwell Trio
Moon Hooch
Baby Fat
Red NOT Chili Peppers
Yng Mattress
Pirate Rodeo
Wyatt Flores
Dear Blanca
iLLA ZillA
Matthew Logan Vasquez
Daniel Donato's Cosmic Country
The Stolen Faces
Lily’s Burlesque
The Grateful Brothers
Margo Cilker
ZG Smith
Art Star
Riot Stares
Bedlam Hour
Strung Out & The Raging Nathans
Droze & The Drift
Yacht Rock Revue Friday
Getaway Bronco
Matt Reale & The Glenns
Mel Washington
DJ Flip
Cigarettes At Sunset
Big Bubble Rave
Secret Guest
Tonya Nicole & Friends Presents: SWV vs. Jodeci
Special Guest Jeb Gipson
Evergone
Mike Quinn presents: A Herbie Hancock Tribute
The Reckoning *MOVED INSIDE*
Josh Meloy
Crisis Actress
Aaron J. Burke
Catty's Soups
Grateful Dub
The Brook & The Bluff  Saturday
Sicard Hollow
NYE Cover Show
DJ United
The Average Savage
End of the Line
Wolfgang Zimmerman & The Invisible Low End Power
The Pink Stones
Priscilla Block with Ryan Larkins
DILLA VS DOOM: A Psycodelic Tribute to J Dilla and MF Doom
Thrifters & Drifters
Indi'Gxld
Cor De Lux
Andy Frasco & The U.N.
Perpetual Groove
Charlie Worsham
Trash Panda
The Mobros
Angelo The Kid
Meredith Foster
The Midnight City
Slow Funeral
The Coyotes
Doom Flamingo
JWADI
2024 Special Olympics Polor Plunge
Tristan Tritt + America Part Two
support from Sex Bruise?
54 Bicycles: A Widespread Panic Experience
Easily Amused
Corey Harper
