venue_name,identifier,maximumAttendeeCapacity
Club 2020,jambase:9751809,
Rowdys Spring,jambase:8592725,
Etro Night Club,jambase:7857663,
Greek Bros,jambase:335426,700
Winters,jambase:10965256,
Arena Theatre Houston,jambase:2726020,2750
Continental Club,jambase:63637,250
Main Street Crossing,jambase:73743,180
Numbers,jambase:192515,850
The Wildcatter Saloon,jambase:395932,400
Armadillo Palace,jambase:367694,252
Dan Electro’s Guitar Bar,jambase:66020,
Club Escapade 2001,jambase:71808,
Sofar Sounds The Heights,jambase:9198761,
Sofar Sounds River Oaks,jambase:9198726,
Sofar Sounds Midtown,jambase:9198669,
Sofar Sounds EaDo,jambase:9198588,
Fountain of Praise,jambase:8905779,
Montgomery County Fairgrounds,jambase:8369785,
Eighteen Ten Ojeman,jambase:8259424,
The Barn at The Frio,jambase:7767373,1000
Clarion at Brazosport College,jambase:569144,600
Mardi Gras! Galveston,jambase:416824,
Crighton Theatre,jambase:416804,
Big Top Lounge,jambase:416709,
Jolly Fox,jambase:365288,
Home Run Dugout,jambase:11253217,
Old Town Theatre,jambase:10611715,
XSpace Houston,jambase:10392446,
The Paramount Arts Center,jambase:404620,1400
Charleston Coliseum & Convention Center,jambase:192545,13500
Mountain Health Arena,jambase:574730,9000
The Loud,jambase:7865738,500
Appalachian Wireless Arena,jambase:5942577,7000
Clay Center for the Arts,jambase:63146,1850
Municipal Auditorium,jambase:419153,3
Mountain Arts Center,jambase:404642,
Mountain Stage,jambase:62736,
Culture Center Theater,jambase:62803,468
Fly In Cafe,jambase:4677267,
Charleston Theater,jambase:9199043,738
Boyd County Fair,jambase:575851,
Live at The Shop,jambase:10330239,
xBk,jambase:6153143,250
Wooly’s,jambase:68916,700
Val Air Ballroom,jambase:62705,2556
Hoyt Sherman Place,jambase:63894,1252
Wells Fargo Arena,jambase:65109,16110
Vibrant Music Hall,jambase:10756430,3300
Des Moines Civic Center,jambase:64962,2700
Iowa State Fair,jambase:62563,14500
Stephens Auditorium,jambase:62614,2747
Lauridsen Amphitheater at Water Works Park,jambase:68312,
Horizon Events Center,jambase:5902042,3000
Avenue Of The Saints Amphitheater,jambase:391727,
Lefty’s,jambase:573799,350
PLATFORM,jambase:9620387,398
Iowa Speedway,jambase:66934,
Abate Freedom Park,jambase:66392,
Marion County Fairgrounds,jambase:568717,
Jack Trice Stadium,jambase:10995887,
Greenbelt Music Festival,jambase:10431612,
The Hall,jambase:7833875,1300
Simmons Bank Arena,jambase:64265,18000
Revolution Music Room,jambase:65353,550
Oaklawn Park,jambase:7845683,1500
Robinson Center Music Hall,jambase:356656,2222
Stickyz,jambase:69110,200
Hayden Homes Amphitheater,jambase:63517,8000
Domino Room,jambase:63550,500
Midtown Ballroom,jambase:62730,1100
Tower Theatre,jambase:64713,480
Silver Moon Brewing Company,jambase:371356,
McMenamins Old St. Francis School,jambase:68818,
Deschutes County Fair and Expo Center,jambase:361079,
The Belfry,jambase:71302,
Sisters Folk Festival,jambase:67006,
Mt. Bachelor Ski Resort,jambase:334605,
Hoodoo Ski Area,jambase:9037898,
Sisters Art Works,jambase:413844,
Stevenson Ranch,jambase:2918252,
Blue Note,jambase:2083116,326
The Republik,jambase:69289,1000
Blaisdell Arena,jambase:7770926,7700
HB Social Club,jambase:5360317,500
da Playground Maui,jambase:8596350,100
Wet ‘n’ Wild,jambase:402290,2500
Maui Arts & Cultural Center,jambase:64332,5500
Waikiki Shell,jambase:62732,2400
Hawaii Theatre,jambase:402357,1400
Porter Pavilion,jambase:5071533,
The Brewery Block,jambase:9731333,
Willie’s Hot Chicken,jambase:9645129,
Yogarden Hawaii,jambase:11417872,
Slack Key Lounge,jambase:11417870,
Koloa Village,jambase:11344745,
Wai Kai,jambase:11317768,
Don Haskins Center,jambase:64059,11892
The Plaza Theatre,jambase:69925,2298
El Paso County Coliseum,jambase:63027,5250
Lost & Found,jambase:5943171,
The Lowbrow Palace,jambase:68846,400
11:11,jambase:8316426,1200
Rockhouse Bar & Grill,jambase:6115617,389
Abraham Chavez Theatre,jambase:68620,2500
Pan Am Center at NMSU,jambase:62883,12482
Cowtown Boots Event Center,jambase:7938351,
The Swim Club at The Elmont,jambase:10765975,
Cat’s Cradle,jambase:73267,750
Lincoln Theatre,jambase:67010,800
Ritz Theatre,jambase:66295,1400
Cat’s Cradle (Back Room),jambase:71541,200
Durham Performing Arts Center,jambase:66226,2712
Motorco Music Hall,jambase:73390,450
Coastal Credit Union Music Park at Walnut Creek,jambase:62326,20600
PNC Arena,jambase:64057,19772
Carolina Theatre,jambase:66334,1323
The Pinhook,jambase:67344,200
Martin Marietta Center for the Performing Arts,jambase:64777,2277
Red Hat Amphitheater,jambase:71902,5990
The Pour House Music Hall,jambase:63042,289
Kings,jambase:63069,250
Local 506,jambase:66292,250
The Fruit,jambase:5863686,300
Crown Theatre,jambase:8553564,2440
The Blue Note Grill,jambase:69468,225
Stewart Theatre,jambase:359904,
Boykin Center,jambase:327955,650
Rialto Theater,jambase:340795,1200
Shakori Hills,jambase:63854,
The Cary Theater,jambase:332613,175
Crown Coliseum,jambase:64748,10000
McGregor Hall,jambase:2392274,1000
Missy Lane’s Assembly Room,jambase:11280937,
Koka Booth Amphitheatre,jambase:64779,7000
Raleigh Memorial Auditorium – Martin Marietta Center for the Performing Arts,jambase:66286,2277
Fletcher Theater (Martin Marietta Center for the Performing Arts),jambase:345697,
Fletcher Hall @ Carolina Theatre,jambase:377169,
Raleigh City Plaza,jambase:67089,
Cary Arts Center,jambase:193638,
Magnolia Roots Music Lounge,jambase:5987496,
Dorothea Dix Park,jambase:4242517,
Bowstring Pizza and Brewyard,jambase:8794444,200
Dunn Center,jambase:361077,1180
Clayton Center,jambase:329127,600
Rubies on Five Points,jambase:9741082,
Stewart Theater,jambase:9325420,759
Wake Forest Renaissance Centre,jambase:6255178,300
Keihin Auditorium,jambase:5987458,
Jones Performing Arts Center,jambase:567516,1200
Split Raleigh,jambase:10509510,
Monroe Civic Center,jambase:65509,
Prairie Knights Casino & Resort,jambase:69333,
Belle Mehus Auditorium,jambase:66028,833
North Dakota State Fair,jambase:65555,
4 Bears Casino,jambase:2777773,
Morton County Fairgrounds,jambase:6109280,
Yoshi’s,jambase:62334,310
The Independent,jambase:65105,500
Sweetwater Music Hall,jambase:69256,300
The Fillmore,jambase:62164,1315
Great American Music Hall,jambase:62101,470
Rickshaw Stop,jambase:65024,400
The Chapel,jambase:71471,400
Cafe du Nord,jambase:357331,250
Freight & Salvage,jambase:62363,600
Hopmonk Tavern,jambase:73885,250
Hopmonk Tavern Novato,jambase:69837,250
Cornerstone,jambase:3103905,500
Blue Note Napa,jambase:2679067,700
The UC Theatre,jambase:347490,1400
Fox Theater,jambase:66304,2800
August Hall,jambase:3856863,750
Sofar Sounds San Francisco,jambase:9520156,
The Regency Ballroom,jambase:65179,1423
Kilowatt Bar,jambase:9876022,75
Brick and Mortar Music Hall,jambase:70026,250
San Jose Civic,jambase:70648,2850
The Warfield,jambase:62182,2300
The Masonic,jambase:63272,3481
Mystic Theatre,jambase:62775,550
Chase Center,jambase:5386385,18064
The Midway,jambase:1490545,1700
Hotel Utah,jambase:63454,200
The Guild Theatre,jambase:8099013,500
Miner Auditorium @ SFJAZZ Center,jambase:72104,700
The Stork Club,jambase:192492,150
Audio SF,jambase:70875,3500
Peri’s,jambase:357362,200
Bottom of the Hill,jambase:73245,350
SAP Center,jambase:63699,17496
1015 Folsom,jambase:65494,1400
The New Parish Music Hall,jambase:67160,250
Oakland Arena,jambase:356652,19200
Neck of the Woods,jambase:71380,450
The Ritz,jambase:70990,500
Bill Graham Civic Auditorium,jambase:62361,8500
Shoreline Amphitheatre,jambase:62079,22500
Uptown Theatre,jambase:68070,863
The Palace of Fine Arts,jambase:73285,5000
Greek Theatre,jambase:62063,8500
Boom Boom Room,jambase:62658,140
Paramount Theatre,jambase:62809,3040
Toyota Pavilion at Concord,jambase:63224,12500
Halcyon,jambase:2739232,400
Mountain Winery,jambase:63047,2500
Ruth Finley Person Theater,jambase:3314059,1600
The Lab,jambase:365165,200
Sofar Sounds East Bay,jambase:9710318,
JaM Cellars Ballroom,jambase:9979434,650
Temple Nightclub,jambase:66049,750
Curran Theatre,jambase:331251,1667
Swedish American Hall,jambase:63142,300
Zellerbach Hall,jambase:64850,2869
Fox Theatre,jambase:74140,2500
Event Center At Graton Resort & Casino,jambase:193703,2000
Bankhead Theater,jambase:66724,507
Dean Lesher Regional Center for the Arts,jambase:65256,250
Historic BAL Theatre,jambase:338105,800
Sofar Sounds Cow Hollow,jambase:9198808,
Kensington Circus,jambase:395642,
DNA Lounge,jambase:63233,800
Levi’s Stadium,jambase:71787,68500
Gundlach Bundschu Winery,jambase:68757,500
Herbst Theater,jambase:62295,928
Papermill Creek Saloon,jambase:398595,
Sofar Sounds North Beach,jambase:9198862,
Little Saint,jambase:9020032,225
Crybaby,jambase:8344593,400
Oracle Park,jambase:62558,41915
Ivy Room,jambase:358006,200
Monarch,jambase:72657,300
Public Works SF,jambase:69092,1200
Luther Burbank Center for the Arts,jambase:2277767,1681
Frost Amphitheater,jambase:398440,8000
The Great Northern,jambase:2625760,700
Feinstein’s at The Nikko,jambase:392340,140
Winter’s Tavern,jambase:65668,
Rancho Nicasio,jambase:62767,
Mosswood Park,jambase:71758,
Napa Valley Expo,jambase:72936,
Roccapulco,jambase:377468,499
222 Hyde,jambase:372130,
Club Rodeo,jambase:370906,
The Strand Theater,jambase:2727210,283
Sofar Sounds Lake Merritt / Uptown Oakland,jambase:9902874,
Shelton Theater,jambase:395150,
Capos Event Center,jambase:8698890,
Bimbo’s 365 Club,jambase:63274,685
Club Fox,jambase:68783,240
Ashkenaz Music & Dance Community Center,jambase:66911,110
Golden Gate Park,jambase:62229,
Milk Bar,jambase:63557,
Napa Valley Opera House,jambase:63700,450
JaM Cellars Wine & Music Studio,jambase:2746169,
Joe Henderson Lab at SFJAZZ Center,jambase:70542,100
The Starry Plough,jambase:70733,
Heritage Theatre,jambase:65967,802
The OSHER Marin JCC,jambase:70771,
Grace Cathedral,jambase:328682,
Almost Famous Wine,jambase:9534313,200
Sofar Sounds Presidio,jambase:9198716,
Gray Area,jambase:73030,870
Camp Navarro,jambase:71232,
Bergerac,jambase:6220159,
Santa Rosa Veterans Memorial Building,jambase:398798,
City Nights,jambase:358942,
Poppy Bank Epicenter,jambase:9748848,
Brentwood Emporium,jambase:9669192,
Sofar Sounds Jack London Square,jambase:9198842,
Pond Farm Brewing Company,jambase:8924920,
Friends Field,jambase:8425440,
Mare Island Coal Shed Brewery,jambase:7598646,
Mendocino County Fairgrounds,jambase:62850,
San Jose Convention Center,jambase:338558,
The Hollywood Room at Napa Valley Distillery,jambase:10296671,
Temple Beth Torah,jambase:9287162,
Sofar Sounds Inner Sunset,jambase:9198840,
Sofar Sounds Inner Richmond,jambase:9198839,
Sofar Sounds Temescal,jambase:9198760,
Sofar Sounds SoMa,jambase:9198739,
Sofar Sounds Mission,jambase:9198675,
Dougherty Valley Performing Arts Center,jambase:398500,
Cooks Valley Campground,jambase:2377450,
Storek,jambase:11422625,
Sofar Sounds Alamo Square,jambase:11126265,
Fuego Sports Bar and Club,jambase:10891263,
Madarae,jambase:10645574,1000
Veterans Memorial Civic Center,jambase:391651,1774
Bologna Performing Arts Center,jambase:575797,1200
Bologna Performing Arts Center – Recital Hall,jambase:10829342,
Humboldt Brews,jambase:66672,375
Arcata Theatre Lounge,jambase:326765,900
Arkley Center for Performing Arts,jambase:370762,
Mateel Community Center,jambase:62284,
Van Duzer Theatre,jambase:63618,862
Port O’Pints,jambase:3562942,
Betty Green Event Center,jambase:9974745,
Lucky 7 Casino,jambase:385903,
Marion Cultural And Civic Center,jambase:347904,1094
Carson Center,jambase:65116,1806
Kentucky Opry,jambase:4235890,537
Walker’s Bluff,jambase:337647,
Show Me Center,jambase:335523,6972
Jaycee’s Bootheel Rodeo Grounds,jambase:332706,
Shawnee Cave Amphitheatre,jambase:358353,
Van Buren First Baptist Church,jambase:11390119,
Brick’s Off Road Park,jambase:11286334,
MTN Dew Park,jambase:10949252,
Von Braun Center,jambase:65974,10000
Mars Music Hall at Von Braun Center,jambase:6080193,1575
Princess Theater,jambase:65067,677
The Orion Amphitheater,jambase:8119232,8000
Sand Mountain Park & Amphitheater,jambase:7456397,
Mark C. Smith Concert Hall,jambase:68830,1955
Dekalb County VFW Fair Grounds,jambase:9992068,
Shoals Community Theatre,jambase:389567,700
For the Record Music Hall & Bar,jambase:11227490,
Mad Malts Brewing,jambase:10867507,
1st SUMMIT ARENA at Cambria County War Memorial,jambase:373305,4001
Bryce Jordan Center,jambase:62586,15261
The State Theatre,jambase:66140,500
Eisenhower Auditorium,jambase:73273,
Peoples Natural Gas Park,jambase:67698,
Four Quarters Farm,jambase:344461,
Fort Royale Farm,jambase:390441,
Beaver Stadium,jambase:2751637,
High Dive,jambase:73436,450
UpStage at the Phillips Center,jambase:10994502,200
Vivid Music Hall,jambase:9094907,300
Heartwood Soundstage,jambase:3569324,135
Knockin’ Boots – Gainesville,jambase:6216255,
Lightnin Salvage,jambase:574542,
The Blue Note,jambase:62828,835
Rose Music Hall,jambase:72776,300
Jesse Auditorium,jambase:192606,
Capital Region MU Healthcare Amphitheater (CRMU),jambase:8614915,2500
Mizzou Arena,jambase:367215,
Rose Park,jambase:3151352,
Slowdown,jambase:69366,470
Reverb Lounge,jambase:396162,150
Steelhouse Omaha,jambase:9905927,3000
CHI Health Center,jambase:64998,17560
Barnato,jambase:6519446,100
The Astro,jambase:10380126,5000
The Astro Amphitheater,jambase:9911748,5000
Holland Performing Arts Center,jambase:66294,2000
Stir Concert Cove – Harrah’s Casino & Hotel,jambase:67638,3500
Orpheum Theater,jambase:63898,2600
Peter Kiewit Concert Hall,jambase:69863,
Baxter Arena,jambase:569830,7898
Westfair Amphitheater,jambase:62861,
Liberty First Credit Union Arena,jambase:73521,4400
Payne Arena,jambase:64405,6800
House of Rock,jambase:66700,550
The Post OG,jambase:9188105,
Brewster Street Ice House,jambase:70489,1200
American Bank Center,jambase:192725,10000
Selena Auditorium,jambase:344570,2500
Red Rocks Amphitheatre,jambase:62144,9525
Bluebird Theater,jambase:62413,550
Gothic Theatre,jambase:62450,1100
Ogden Theatre,jambase:62265,1600
The Mission Ballroom,jambase:5289554,4000
Globe Hall,jambase:1490509,250
Boettcher Concert Hall,jambase:338239,2679
Cervantes’ Masterpiece Ballroom,jambase:63869,1000
Aggie Theatre,jambase:62303,650
The Marquis Theater,jambase:64728,450
Cervantes’ Other Side,jambase:66738,450
Summit Music Hall,jambase:68444,1100
Fox Theatre,jambase:62111,2800
The Larimer Lounge,jambase:63427,250
Belly Up Aspen,jambase:64620,450
Boulder Theater,jambase:62114,850
Paramount Theatre,jambase:62989,1870
Meow Wolf Denver | Convergence Station,jambase:9451569,450
10 Mile Music Hall,jambase:4531868,700
The Fillmore Auditorium,jambase:73219,3900
Lost Lake Lounge,jambase:69244,75
Ophelia’s Electric Soapbox,jambase:70777,425
Vilar Performing Arts Center (VPAC),jambase:62260,530
Ball Arena,jambase:64200,18007
Black Buzzard,jambase:3838035,300
Washington’s,jambase:335164,900
The Oriental Theater,jambase:63917,700
Fort Collins Armory,jambase:1490511,225
Sofar Sounds RiNo,jambase:9198722,
Public House,jambase:7808683,130
Grizzly Rose,jambase:63714,2000
Fiddler’s Green Amphitheatre,jambase:62469,18000
eTown Hall,jambase:66600,1800
Temple Nightclub,jambase:3745066,750
The Snow Lodge,jambase:8375652,
The Church,jambase:65051,1500
The Coast,jambase:7788903,300
Strings Music Pavilion,jambase:2001875,250
Sheridan Opera House,jambase:62194,265
Crested Butte Center for the Arts,jambase:62555,380
Old Town Pub,jambase:63702,300
Empower Field at Mile High,jambase:69494,76125
Sofar Sounds South Broadway,jambase:9288721,
The Soiled Dove Underground,jambase:66206,500
The Mercury Cafe,jambase:64465,400
Gerald R. Ford Amphitheater,jambase:66275,
Schmiggity’s,jambase:71507,200
Hi-Dive,jambase:396051,285
Knew Conscious,jambase:389458,450
Gates Concert Hall,jambase:376200,971
Mishawaka Amphitheatre,jambase:66611,1150
The Stanley Hotel,jambase:64520,300
Coors Field,jambase:73903,
Dillon Amphitheater,jambase:62648,3656
Macky Auditorium,jambase:62640,2040
The Moxi Theatre,jambase:69417,400
Temple Hoyne Buell Theatre,jambase:65271,2843
The Lariat,jambase:2363242,300
Ivy Ballroom at Surf Hotel,jambase:4346935,400
The Arts Campus At Willits (TACAW),jambase:7996262,400
Bellco Theatre,jambase:390536,5005
Levitt Pavilion,jambase:569301,7500
Warren Station Center for the Arts,jambase:67651,180
Stampede,jambase:2202052,2000
Sherbino Theater,jambase:67448,
Velvet Elk Lounge,jambase:8756933,175
830 North,jambase:377613,250
Kilstrom Theatre at Denver Center for the Performing Arts,jambase:11003845,380
The Moon Room at Summit Music Hall,jambase:70922,300
The Caribou Room,jambase:2396401,500
Blue Arena,jambase:363144,7200
Agave,jambase:65348,400
Buffalo Rose,jambase:66335,
Telluride Town Park,jambase:62459,
Wheeler Opera House,jambase:358057,503
Rancho Del Rio,jambase:62699,
HQ,jambase:7996283,300
Rialto Theater,jambase:62233,446
Cactus Jack’s,jambase:192512,
Lone Tree Arts Center,jambase:193555,
Sofar Sounds Sunnyside,jambase:9198758,
Sofar Sounds Highlands,jambase:9198629,
Sofar Sounds Five Points,jambase:9198605,
Sofar Sounds Englewood,jambase:9198598,
2454 West,jambase:7903543,400
Solaris,jambase:400243,
Cecilia’s,jambase:366993,400
Sofar Sounds Congress Park,jambase:9542748,
Sofar Sounds Golden Triangle,jambase:9198617,
Club Vinyl,jambase:8804217,
The Press,jambase:8656712,
Devil’s Craft,jambase:8274810,275
Cowboy Saloon & Dance Hall,jambase:65897,
The Alibi,jambase:11322555,
Stockyards Event Center,jambase:10488229,
Chautauqua Auditorium,jambase:64074,1300
Dazzle Jazz,jambase:63355,
The Roxy Theater,jambase:70073,500
Breckenridge Riverwalk Center,jambase:62715,2000
The Black Box,jambase:3030129,300
Planet Bluegrass Ranch,jambase:64464,3000
Lincoln Center,jambase:63884,1180
Mile High Spirits,jambase:68950,600
Denver Coliseum,jambase:358793,10200
Club Red at Telluride Conference Center,jambase:71810,450
Swallow Hill Music,jambase:70819,300
Shakedown Bar,jambase:69823,
Eldora Mountain Resort,jambase:388237,
So Many Roads Museum & Brewery,jambase:7490654,200
Chautauqua Community House,jambase:73143,1404
Bar Standard,jambase:67408,
Sundance Steakhouse & Saloon,jambase:6186356,350
Ford Park,jambase:572468,
Folsom Field,jambase:569342,
The Armory,jambase:399810,
Oskar Blues,jambase:67518,
Snowmass Town Park,jambase:6255175,
Skylark Lounge,jambase:399359,75
Union Colony Civic Center,jambase:365156,
Gryphon Theatre,jambase:69406,
The Grateful Gnome Sandwich Shoppe and Brewery,jambase:5306422,
Goat Soup & Whiskey Tavern,jambase:3877111,
Sofar Sounds Lakewood,jambase:9884539,
Sofar Sounds Wash Park,jambase:9638592,
Sofar Sounds South Denver,jambase:9520158,
Sofar Sounds Central Park,jambase:9273383,
Sofar Sounds Santa Fe Arts District,jambase:9198877,
Louisville Underground,jambase:7525207,
Downtown Aspen,jambase:569543,
Island Grove Park,jambase:395716,
Parfet Park,jambase:328286,
Wibby Brewing,jambase:2476941,
1134 Broadway,jambase:9990357,290
Sofar Sounds Pearl Street Mall,jambase:9447855,
Roots Music Project,jambase:9427632,100
Sofar Sounds Union Station,jambase:9198769,
Sofar Sounds Jefferson Park,jambase:9198640,
Upper Knoll Lot,jambase:9174001,
Rhythms on the Rio Festival Grounds,jambase:8499398,
ReelWorks Denver,jambase:8426662,
Stella’s Pinball Arcade & Lounge,jambase:8019642,
The Wild Goose Event Center,jambase:7636333,
The LAWN at South Main Town Square,jambase:7125705,
IMPACTO DE FE,jambase:6186354,
Busey Brews,jambase:6154345,
El Nuevo Rodeo,jambase:5487447,
Butte 66,jambase:429722,
Wagner Park,jambase:400151,
EXDO Event Center,jambase:399392,
"Parker Arts, Culture & Event Center",jambase:3832379,
Rio Grande Park,jambase:374098,
McDonoughs Steak House and Saloon,jambase:326805,
Riot House Denver,jambase:11455854,
The Underground,jambase:11306911,
Sofar Sounds East Pearl,jambase:10789243,
Sofar Sounds Berkeley,jambase:10770375,
Kulture Music Hall,jambase:10523532,
Alma City Park,jambase:10207767,
Cedar County Fair,jambase:569838,
Orpheum Theatre,jambase:63096,2560
Tyson Events Center,jambase:404018,10000
The Marquee,jambase:5933450,325
Battery Park,jambase:3015340,
Madison County Fairgrounds,jambase:11389891,
Eddie’s Attic,jambase:62653,185
Terminal West,jambase:68777,650
The Masquerade (Purgatory),jambase:69181,300
Vinyl at Center Stage,jambase:63722,300
Variety Playhouse,jambase:62147,1000
The Masquerade (Hell Stage),jambase:70784,550
Buckhead Theatre,jambase:72101,1800
The Eastern,jambase:7501742,2200
The Masquerade (Heaven Stage),jambase:69552,1000
Aisle 5,jambase:72432,300
Georgia Theatre,jambase:62226,800
The Tabernacle,jambase:63401,2600
State Farm Arena,jambase:65673,21000
Ameris Bank Amphitheatre,jambase:65873,12000
Believe Music Hall,jambase:4673004,900
40 Watt Club,jambase:63214,500
Center Stage,jambase:62843,1050
Coca-Cola Roxy Theatre,jambase:358536,1800
The Loft,jambase:64685,650
District Atlanta,jambase:5359709,350
Gas South Arena,jambase:8653574,13000
City Winery,jambase:1538932,400
Cobb Energy Performing Arts Centre,jambase:66756,2750
The Earl,jambase:62811,300
Fox Theatre,jambase:62788,4665
529,jambase:70879,250
Hugh Hodgson Hall,jambase:401996,1100
Sofar Sounds Midtown,jambase:9256482,
Cadence Bank Amphitheatre at Chastain Park,jambase:62228,6900
Lions the Ultra Lounge,jambase:9631532,
Woodstock Arts Theatre,jambase:10877422,500
Smith’s Olde Bar,jambase:62609,300
Mercedes-Benz Stadium,jambase:3335013,83000
Anderson Music Hall,jambase:68385,2
Madlife Stage & Studios,jambase:2375860,230
Sofar Sounds West Midtown,jambase:9198782,
Gateway Center Arena at College Park,jambase:6054356,5000
The Foundry,jambase:70592,400
Classic Center,jambase:62207,2090
Truist Park,jambase:2840951,41500
Atlanta Coliseum,jambase:2567266,5000
Rialto Center for the Performing Arts,jambase:63472,
Sofar Sounds Summerhill,jambase:9771661,
Sofar Sounds Westview,jambase:9312252,
Sofar Sounds East Atlanta,jambase:9198589,
Gas South Theater,jambase:8059537,708
Boot Barn Hall at Bourbon Brothers,jambase:10497486,1000
Cellairis Amphitheatre at Lakewood,jambase:66849,18920
Symphony Hall,jambase:68140,1762
The Nowhere Bar,jambase:62685,
SweetWater Brewing Company,jambase:345216,
The Rialto Room,jambase:381462,
Byers Theatre,jambase:4411493,1096
Blue Ridge Community Theater,jambase:393237,
Flicker Theater and Bar,jambase:67191,
Unity Baptist Church,jambase:9902920,
TOONEYS Music Venue,jambase:9545620,600
Sofar Sounds Old Fourth Ward,jambase:9198871,
Presence Arena,jambase:8082479,
Athens Fairgrounds,jambase:5999231,
Downtown Square,jambase:575195,
Central Park,jambase:567783,
Kingston Downs,jambase:567771,
Fifth Third Bank Stadium,jambase:391949,
Strange Duck Brewing Co,jambase:11375917,
Westside Motor Lounge,jambase:10106493,
Sofar Sounds Kirkwood,jambase:10044122,
W.D. Packard Music Hall,jambase:74053,2500
Robins Theatre,jambase:5961383,1350
Covelli Centre,jambase:70751,5900
Westside Bowl,jambase:5522322,
The Youngstown Foundation Amphitheatre,jambase:5491479,
Big Rail Brewing,jambase:8856456,
The Intersection,jambase:73259,400
The Pyramid Scheme,jambase:68580,625
GLC Live at 20 Monroe,jambase:2762191,2580
Bell’s Eccentric Cafe,jambase:63264,375
Van Andel Arena,jambase:62885,10834
The Stache at The Intersection,jambase:71102,400
Elevation at The Intersection,jambase:3976632,1100
Kalamazoo State Theatre,jambase:62306,1590
Tip Top Deluxe Bar & Grill,jambase:72607,150
DeVos Performance Hall,jambase:70076,2404
Wings Event Center,jambase:371970,
Firekeepers Casino,jambase:67153,2100
St. Cecilia Music Center,jambase:66233,650
Frauenthal Center for the Performing Arts,jambase:371611,
Holland Civic Centre,jambase:406796,2000
Morning Ritual,jambase:11417862,
Wealthy Theatre,jambase:63555,400
Willow Ranch,jambase:358415,
Belknap Park,jambase:3313854,
Gingerman Raceway,jambase:2253347,
Midtown,jambase:9733243,
Circle Pines Center,jambase:67790,
Double JJ Ranch and Resort,jambase:66229,
Kellogg Arena,jambase:323900,
Stanley Performing Arts Center,jambase:192579,2963
Brewery Ommegang,jambase:65005,5000
Foothills Performing Arts Center,jambase:382300,
Center for the Arts of Homer,jambase:65596,400
The Westcott Theater,jambase:68201,700
Funk ‘n Waffles,jambase:69452,200
The State Theatre of Ithaca,jambase:63213,1600
St. Joseph’s Health Amphitheater at Lakeview,jambase:575324,17500
Middle Ages Brewing Company,jambase:5031174,300
The Song & Dance,jambase:9924273,400
Crouse Hinds Theater,jambase:74211,2117
The Vine Theater At Del Lago Resort & Casino,jambase:3066655,2400
Turning Stone Casino,jambase:62951,700
Hangar Theatre,jambase:411216,365
Beak and Skiff Apple Orchards,jambase:2534105,
Landmark Theatre,jambase:62353,3000
Funk ‘n Waffles Downtown,jambase:72567,200
Sharkey’s,jambase:392934,
Carrier Dome,jambase:382148,
Deep Dive,jambase:9141064,
Lost Horizon,jambase:66989,500
Trumansburg Fairgrounds,jambase:63332,15000
New York State Fairgrounds,jambase:62525,
War Memorial Arena at The Oncenter,jambase:1490398,7000
Stewart Park Pavilion,jambase:566863,
The Listening Room at 443 Cafe & Lounge,jambase:5136243,
Ryman Auditorium,jambase:63881,2362
The Basement East,jambase:72553,400
3rd & Lindsley,jambase:62437,700
Schermerhorn Symphony Center,jambase:66240,1844
Brooklyn Bowl,jambase:6224822,1200
Woolworth Theatre,jambase:9402781,
Bridgestone Arena,jambase:73852,20000
Exit/In,jambase:63091,500
The Basement,jambase:64261,400
Acme Feed & Seed,jambase:71464,499
Eastside Bowl,jambase:7993981,750
The End,jambase:62632,200
Marathon Music Works,jambase:68514,1500
The Blue Room,jambase:10195815,250
Bluebird Cafe,jambase:63966,90
Ascend Amphitheater,jambase:72884,6800
Rudy’s Jazz Room,jambase:4125278,
Grand Ole Opry,jambase:62822,2362
Hop Springs Beer Park,jambase:5404366,4000
Nissan Stadium,jambase:3805676,69143
The East Room,jambase:392137,250
City Winery,jambase:71630,300
Station Inn,jambase:63056,
FirstBank Amphitheater,jambase:7595276,7500
Nashville Municipal Auditorium,jambase:67473,9700
Drkmttr,jambase:1538948,100
The Fisher Center for the Performing Arts,jambase:8875217,1727
Skydeck on Broadway,jambase:7986079,1600
Riverside Revival,jambase:9686195,360
Sofar Sounds Music Row,jambase:9959179,
The Cannery Ballroom,jambase:68142,1000
Franklin Theatre,jambase:68196,312
The Cowan,jambase:4100192,600
James K. Polk Theatre,jambase:68437,
Analog at Hutton Hotel,jambase:5627056,325
The Office,jambase:9001360,
The Vinyl Lounge,jambase:9806733,
Row One,jambase:11430564,
Country Music Hall of Fame and Museum,jambase:64656,800
Andrew Jackson Hall,jambase:66479,2472
Tennessee Performing Arts Center,jambase:371801,256
The 5 Spot,jambase:69103,75
The Bonnaroo Farm,jambase:63201,
CMA Theater,jambase:394212,776
Grimey’s,jambase:340495,
Geodis Park,jambase:9385327,
The Lounge at City Winery,jambase:7995716,
Rooftop at Assembly Food Hall,jambase:7865736,1600
Dee’s Country Cocktail Lounge,jambase:3951617,135
Harriet’s Rooftop,jambase:10981031,
Sofar Sounds East Nashville,jambase:9243393,
The Breakers Marina,jambase:8720020,
Fair Park,jambase:5902546,
Loews Vanderbilt Plaza,jambase:565667,
Alhambra Theater,jambase:373326,
Cherry Theater at Columbia State Community College,jambase:3449396,
Short Mountain Distillery,jambase:331366,
