Band
Dance Party
Loser Chris
Crisis Actress
Wolfgang Zimmerman & The Invisible Low End Power
Less Than Jake
The Stolen Faces
The Howdies
Schema
Thurston Howell – A Premier Yacht Rock Spectacular!
The Steel Wheels
Carlyle Griffin
Josh Meloy
Sam Burchfield and the Scoundrels
Quiet
Donawa
A Night of JJ Cale
A Bob Marley Birthday Celebration
Slow Funeral
Fo Daniels & Whitehall
Come Mierda
DILLA VS DOOM: GrandDaddi Caddi & Friends
Girlfriend From Hell
ROTOGLOW
$25 Gift Certificate
The Afternooners
Thrifters & Drifters
Brave Baby & Happy Landing
Angelo The Kid
Take On Me – 80s Dance Party
The Mammoths
ODD SWEETHEART
Stankface
KAYSHAWN
Howdy
Sean Mills of Machine Funk – A tribute to Widespread Panic
Runaway Gin
www.facebook.com/holycityvintagemarket/
Same As It Ever Was
The Wormholes
Quelle The Prophet
Matt Reale & The Glenns
The Midnight City
Yng Mattress
Pocket Full of Shells  A Tribute to Rage Against The Machine
The Psycodelics
Catty Soups
DJ Flip
The Coyotes
Versus Me
Kyle Tuttle Band
Bonzii
Weird Science  80's cheeze
Nick Horn
Yacht Rock Revue Wednesday
Show Me Mary
Thelma & The Sleaze
Baked Shrimp
Five Door Sedan
Ticket Link
Easily Amused
Jeff Caldwell Trio
SKIP'LO
That1Guy
Team Deathmatch
The Dumbest Kids In School
Stop Light Observations
ZUEZEU
Pip The Pansy
Gritty Flyright & The Music Family with Johnny Holliday
Tourneforte
Priscilla Block with Ryan Larkins
Corey Smith
Virginia Man
EMO NIGHT: Valentines Dance
Kaizër
NO THANKS
Resident Aliens
YEAH! – R&B & Hip Hop Jams
Lucile
SEQUOYAH PREP SCHOOL
The Mobros
Sam Holt Band presents Remembering Mikey & Todd
Death Kings & Wolf Mask
Corey Harper
Red Panda
Jack Fortune
"YEAH! – Usher, R&B, & Hip Hop Hits"
Smash Into Pieces
The Talismen + Matcha
Hellvis
Recess Party
Andy Frasco & The U.N.
Matthew Logan Vasquez
Kelly
Cool Cool Cool
Yes Trespassing
Bad Signals
Hannah Wicklund
High Society
The Pink Stones
Art Star
Perpetual Groove
Grayson Little
What’s Up Chuck
Susto Es Muerto
Tyrie
Big Richard
Getaway Bronco
Leopard & The Diamond Sky
North By North
Kind Hearted Strangers
Daniel Donato's Cosmic Country
Sammy Rae & The Friends
Mel Washington
Catty's Soups
TAYLOR SWIFT NIGHT
TAUK ft Kanika Moore
Riders Law Group
Self Made Monsters
Tony Jack’s Glow Party
Antagonizers ATL
Rome & Duddy Tour 2024
Meredith Foster
Isabelle's Gift
Billy Pilgrim
Strung Out & The Raging Nathans
Mr. Fahrenheit
Bedlam Hour
Kweena Dess
Super Runaway
Dopapod
Mustache The Band
Colors In Corduroy
Strike First
Anergy
DILLA VS DOOM: A Psycodelic Tribute to J Dilla and MF Doom
Elizabeth Moen
Marvelous Funkshun plays Hendrix
Ballyhoo!
KSwayZ
Town Mountain
The Delta Circus presents a Tribute to the Rolling Stones
Dallas Baker and the Pluff Daddy’s
Primitive Warfare
Dady's Beemer
Rock the 90’s
Moon Taxi
Chris Wilcox
Cigarettes At Sunset
Rectoplasm
John Bias
FlashMob
Grateful Dub
Homemade Haircuts
ESCUELA GRIND
The Carls
Diabolic Oath
Justin Osborne of Susto: 10 year Anniversary
MAOLI
Tom Mackell
Sherwood's Florist
GO AHEAD AND DIE: Unhealthy Mechanisms Tour 2024
Sicard Hollow
Bikini Trill
Quentin Ravenel
Soul Mondays Super Jam w/ WHUT & GranDaddi Caddi
SkinYouAlive
Club 90s Midnight Memories 1D Night
The Hollidaddies
Yacht Rock Revue Thursday
Swamp House Rebellion
Corey Kilgannon
Moonkat Daddi
Dear Blanca
Hunter Park
The Grateful Brothers
Fire Nest
Baby Fat
My Emo Valentine Show
Star Collar
The Reckoning
James McMurtry
Jay Van Raalte & The Spectrum
Frozen
Adam Knights Buried Alive (phish tribute)
Reverend Horton Heat
The Runout
Daddy's Beemer
Dope KNife
Doom Flamingo
Model #
Margo Cilker
Landon Wordswell
Cash Machine
KOFFIN KATS
Dog Bite
"Slaughter Beach, Dog"
Parks & Razz
Brett Nash
Local Nomad
Soul Mondays w/ WHUT
Carbon Leaf
Poho Night Market
BoomBox
Into the Fog
FatRat Da Czar
LOVESONG  A Tribute to The Cure
"Loser Chris, Slim S.O.U.L, Rhodium , Dj Fl!P"
The Minks
DJ United
Emily Nenni
Florida Man
Gimme Gimme Disco
A Tribute to Donny Hathaway  & Stevie Wonder
JWADI
Lilly Winwood
Artikal Sound System
Broken Speakers
DJ DollaMenu
Tastee Tuesdee’s
Claire Wright
S’way & the Apostrophe
CANCELLED: Tastee Tuesdee’s
Buried In Terror
Hiss Golden Messenger
"The Stews, Easy Honey"
Horsey
Lily’s Burlesque
Open Jam  Night by Sam and Illia Band
Benjamin Tod & Lost Dog Street Band
Cole Chaney
Nick Shoulders and The Okay Crawdad
Badfish – A Tribute to Sublime
Infinitefreefall
Unheard Ent.
Invisible Low End Power
Occult Fracture
Tiara Tanai
The 33's
Aaron J. Burke
Tobyraps
Faze Wave
Natasha
Majic Dust
Sun Child
Swussy
Bombargo
Frank Foster
Gritty Flyright
Leaf Eater
The Water Kickers
Dryrot
Yacht Rock Revue Friday
Extra Chill
G. Love & Special Sauce
The Innocents
Liam Purcell & Cane Mill Road
Red NOT Chili Peppers
Kanika Moore
The Average Savage
ADHD
Droze & The Drift
Jupiter Coyote
